id,Action
1,0.551
2,0.982
3,0.997
4,0.951
5,1
6,1
7,0.969
8,0.996
9,0.767
10,0.983
11,0.997
12,0.961
13,0.96
14,0.868
15,0.973
16,0.984
17,0.913
18,0.943
19,0.993
20,0.996
21,0.998
22,0.984
23,0.794
24,0.955
25,0.945
26,0.973
27,0.966
28,0.767
29,0.977
30,0.75
31,0.966
32,0.95
33,0.985
34,0.959
35,0.955
36,0.985
37,0.969
38,0.966
39,0.924
40,0.821
41,0.951
42,0.996
43,0.988
44,0.984
45,0.959
46,0.978
47,0.999
48,0.947
49,1
50,0.986
51,0.999
52,0.988
53,0.988
54,0.978
55,0.866
56,0.925
57,0.977
58,1
59,0.946
60,0.985
61,0.997
62,0.974
63,0.99
64,0.993
65,0.999
66,0.998
67,0.913
68,0.986
69,0.96
70,0.73
71,0.905
72,0.982
73,0.966
74,0.999
75,0.986
76,0.971
77,1
78,0.921
79,0.793
80,0.999
81,1
82,0.998
83,0.981
84,0.997
85,0.986
86,0.931
87,0.859
88,0.998
89,0.997
90,0.962
91,0.986
92,0.937
93,1
94,0.89
95,1
96,0.996
97,0.61
98,0.991
99,0.98
100,0.995
101,0.983
102,0.411
103,0.98
104,0.922
105,0.772
106,0.996
107,0.986
108,0.919
109,0.975
110,0.99
111,0.795
112,0.948
113,0.982
114,0.998
115,0.958
116,0.957
117,0.982
118,0.992
119,1
120,0.988
121,0.994
122,0.989
123,0.892
124,0.978
125,0.996
126,0.705
127,0.756
128,0.952
129,0.985
130,0.917
131,0.998
132,0.975
133,0.965
134,0.817
135,1
136,0.884
137,0.99
138,0.974
139,0.868
140,0.957
141,0.994
142,0.91
143,0.991
144,0.967
145,0.999
146,0.903
147,0.799
148,0.924
149,0.998
150,0.995
151,0.986
152,0.994
153,0.975
154,0.918
155,0.983
156,0.989
157,0.995
158,0.878
159,0.999
160,0.941
161,0.771
162,0.974
163,0.993
164,0.996
165,0.984
166,0.994
167,0.955
168,1
169,0.977
170,0.994
171,0.983
172,0.997
173,0.965
174,1
175,0.997
176,0.997
177,0.888
178,1
179,1
180,0.849
181,0.382
182,0.903
183,0.943
184,0.93
185,0.98
186,0.873
187,0.993
188,0.972
189,0.845
190,0.98
191,1
192,0.997
193,1
194,0.997
195,0.965
196,0.999
197,0.982
198,0.956
199,0.967
200,0.535
201,0.962
202,0.944
203,0.88
204,0.929
205,0.997
206,0.99
207,0.995
208,0.928
209,0.849
210,0.998
211,0.969
212,0.918
213,1
214,0.869
215,0.999
216,0.948
217,0.953
218,0.999
219,0.999
220,0.97
221,0.906
222,0.997
223,1
224,0.874
225,0.994
226,0.922
227,0.809
228,0.954
229,0.998
230,0.979
231,0.946
232,0.919
233,0.986
234,0.887
235,0.972
236,0.941
237,0.998
238,0.978
239,0.97
240,0.995
241,0.946
242,0.764
243,0.854
244,0.999
245,0.931
246,0.999
247,0.976
248,0.978
249,0.982
250,0.989
251,0.998
252,0.925
253,1
254,0.985
255,1
256,0.971
257,0.988
258,0.872
259,0.938
260,0.998
261,0.985
262,0.928
263,0.927
264,0.973
265,0.984
266,0.928
267,0.9
268,0.994
269,0.984
270,0.99
271,0.974
272,0.865
273,0.962
274,0.983
275,0.971
276,0.686
277,0.993
278,1
279,0.939
280,0.884
281,1
282,0.988
283,0.724
284,0.947
285,0.957
286,0.988
287,1
288,0.999
289,0.948
290,0.978
291,0.924
292,0.941
293,0.983
294,0.956
295,0.985
296,0.605
297,0.42
298,0.987
299,0.557
300,0.975
301,0.832
302,0.985
303,0.54
304,0.604
305,0.963
306,0.99
307,0.987
308,0.997
309,0.971
310,0.951
311,0.984
312,0.991
313,0.947
314,0.955
315,1
316,0.994
317,0.977
318,0.997
319,0.798
320,1
321,0.989
322,0.599
323,1
324,0.998
325,0.991
326,0.845
327,0.991
328,0.998
329,0.949
330,0.986
331,0.92
332,0.915
333,0.974
334,0.75
335,0.998
336,0.972
337,0.907
338,0.995
339,0.908
340,0.923
341,0.993
342,0.992
343,0.867
