id,Action
1,0.074
2,0.852
3,1
4,0.83
5,0.992
6,1
7,0.821
8,0.998
9,0.721
10,0.879
11,1
12,0.515
13,0.509
14,0.117
15,0.638
16,0.756
17,0.252
18,0.481
19,0.82
20,0.921
21,1
22,0.909
23,0.301
24,0.619
25,0.53
26,0.871
27,0.246
28,0.154
29,0.925
30,0.363
31,0.698
32,0.66
33,0.913
34,0.821
35,0.63
36,0.846
37,0.476
38,1
39,0.417
40,0.443
41,0.443
42,0.997
43,0.882
44,0.657
45,0.584
46,0.527
47,1
48,0.67
49,0.999
50,0.872
51,0.996
52,0.851
53,0.847
54,0.795
55,0.639
56,0.626
57,0.636
58,0.913
59,0.641
60,0.908
61,1
62,0.848
63,0.891
64,0.951
65,0.926
66,0.973
67,0.371
68,0.925
69,0.609
70,0.194
71,0.419
72,0.755
73,0.682
74,0.864
75,0.549
76,0.741
77,0.967
78,0.321
79,0.235
80,0.998
81,0.908
82,0.831
83,0.854
84,0.976
85,0.822
86,0.952
87,0.383
88,1
89,0.918
90,0.569
91,0.955
92,0.342
93,0.997
94,0.419
95,0.991
96,0.988
97,0.182
98,0.998
99,0.958
100,0.987
101,0.786
102,0.05
103,0.803
104,0.521
105,0.214
106,0.895
107,0.938
108,0.292
109,0.698
110,0.876
111,0.196
112,0.391
113,0.819
114,0.999
115,0.356
116,0.648
117,0.855
118,0.911
119,0.998
120,0.975
121,0.827
122,0.808
123,0.324
124,0.846
125,0.984
126,0.207
127,0.156
128,0.562
129,0.984
130,0.525
131,0.981
132,0.595
133,0.678
134,0.417
135,1
136,0.245
137,0.938
138,0.682
139,0.218
140,0.92
141,0.935
142,0.49
143,0.838
144,0.882
145,1
146,0.179
147,0.384
148,0.427
149,0.919
150,0.798
151,0.911
152,0.887
153,0.738
154,0.392
155,0.678
156,0.602
157,0.992
158,0.326
159,0.953
160,0.398
161,0.418
162,0.834
163,0.924
164,1
165,0.927
166,0.891
167,0.463
168,1
169,0.774
170,0.784
171,0.882
172,1
173,0.705
174,1
175,1
176,0.88
177,0.68
178,0.999
179,1
180,0.357
181,0.056
182,0.529
183,0.34
184,0.398
185,0.823
186,0.297
187,0.98
188,0.801
189,0.179
190,0.763
191,1
192,0.988
193,0.999
194,0.973
195,0.918
196,1
197,0.803
198,0.693
199,0.696
200,0.131
201,0.787
202,0.498
203,0.221
204,0.413
205,0.808
206,0.951
207,0.906
208,0.62
209,0.251
210,0.907
211,0.591
212,0.429
213,0.993
214,0.65
215,1
216,0.536
217,0.583
218,0.999
219,1
220,0.824
221,0.425
222,0.994
223,0.865
224,0.412
225,0.72
226,0.419
227,0.265
228,0.527
229,0.995
230,0.765
231,0.535
232,0.268
233,0.591
234,0.298
235,0.796
236,0.267
237,0.829
238,0.89
239,0.813
240,0.956
241,0.575
242,0.261
243,0.174
244,1
245,0.922
246,1
247,0.955
248,0.744
249,0.77
250,0.893
251,0.932
252,0.704
253,0.995
254,0.735
255,0.824
256,0.61
257,0.881
258,0.216
259,0.515
260,0.995
261,0.993
262,0.425
263,0.788
264,0.821
265,0.983
266,0.584
267,0.429
268,0.755
269,0.778
270,0.726
271,0.723
272,0.192
273,0.988
274,0.692
275,0.774
276,0.472
277,0.964
278,0.998
279,0.364
280,0.274
281,1
282,0.966
283,0.04
284,0.519
285,0.851
286,0.713
287,1
288,1
289,0.493
290,0.986
291,0.439
292,0.404
293,0.728
294,0.396
295,0.788
296,0.074
297,0.09
298,0.63
299,0.044
300,0.965
301,0.501
302,0.915
303,0.061
304,0.071
305,0.796
306,0.758
307,0.843
308,1
309,0.213
310,0.617
311,0.992
312,0.991
313,0.624
314,0.465
315,0.978
316,0.812
317,0.635
